"","date","MTR_NUMBER","conload","imp"
"116",2021-04-05,"USS 0004966",384,6.14
"117",2021-04-05,"USS 0005019",576,12.08
"118",2021-04-05,"USS 0008953",576,7.38
"119",2021-04-05,"USS 0008983",576,9.86
"120",2021-04-05,"USS 0009044",576,9.64
"121",2021-04-05,"USS 0009063",576,6.12
"122",2021-04-05,"USS 0009067",576,4.4
"123",2021-04-05,"USS 0009070",576,2.26
"124",2021-04-05,"USS 0009072",576,5.5
"125",2021-04-05,"USS 0009073",576,5.58
"126",2021-04-05,"USS 0009074",576,5.58
"127",2021-04-05,"USS 0009075",576,5.58
"128",2021-04-05,"USS 0009076",576,5
"129",2021-04-05,"USS 0015695",576,2.6
"130",2021-04-05,"USS 0017113",192,2.46
"131",2021-04-05,"USS 0017137",768,0
"132",2021-04-05,"USS 0017138",576,9.54
"133",2021-04-05,"USS 0020686",192,0
"134",2021-04-05,"USS 0020707",768,48.22
"135",2021-04-05,"UST 0000711",1248,31.38
"136",2021-04-05,"UST 0000712",1248,19.38
"137",2021-04-05,"UST 0000713",1248,18.08
"138",2021-04-05,"UST 0002019",1248,17.72
"139",2021-04-05,"UST 0002020",1248,15.32
"140",2021-04-05,"UST 0002021",NA,329.48
"141",2021-04-06,"USS 0004903",384,10.4
"142",2021-04-06,"USS 0004927",384,10.3
"143",2021-04-06,"USS 0004949",384,3.52
"144",2021-04-06,"USS 0004966",384,5.28
"145",2021-04-06,"USS 0005019",576,8.52
"146",2021-04-06,"USS 0008953",576,9.78
"147",2021-04-06,"USS 0008983",576,9.02
"148",2021-04-06,"USS 0009044",576,10.04
"149",2021-04-06,"USS 0009063",576,7.12
"150",2021-04-06,"USS 0009067",576,4.56
"151",2021-04-06,"USS 0009070",576,2.58
"152",2021-04-06,"USS 0009072",576,5.52
"153",2021-04-06,"USS 0009073",576,5.58
"154",2021-04-06,"USS 0009074",576,5.58
"155",2021-04-06,"USS 0009075",576,5.56
"156",2021-04-06,"USS 0009076",576,4.88
"157",2021-04-06,"USS 0015695",576,2.78
"158",2021-04-06,"USS 0017113",192,2.54
"159",2021-04-06,"USS 0017137",768,0
"160",2021-04-06,"USS 0017138",576,8.54
"161",2021-04-06,"USS 0020686",192,0.08
"162",2021-04-06,"USS 0020707",768,51.12
"163",2021-04-06,"UST 0000711",1248,32.08
"164",2021-04-06,"UST 0000712",1248,19.52
"165",2021-04-06,"UST 0000713",1248,18.22
"166",2021-04-06,"UST 0002019",1248,17.56
"167",2021-04-06,"UST 0002020",1248,15.06
"168",2021-04-06,"UST 0002021",NA,335.92
"169",2021-04-07,"USS 0004903",384,9.5
"170",2021-04-07,"USS 0004927",384,9.36
"171",2021-04-07,"USS 0004949",384,4.36
"172",2021-04-07,"USS 0004966",384,5.78
"173",2021-04-07,"USS 0005019",576,16.84
"174",2021-04-07,"USS 0008953",576,11.9
"175",2021-04-07,"USS 0008983",576,9.3
"176",2021-04-07,"USS 0009044",576,9.82
"177",2021-04-07,"USS 0009063",576,5.7
"178",2021-04-07,"USS 0009067",576,2.6
"179",2021-04-07,"USS 0009070",576,1.04
"180",2021-04-07,"USS 0009072",576,5.38
"181",2021-04-07,"USS 0009073",576,5.5
"182",2021-04-07,"USS 0009074",576,5.52
"183",2021-04-07,"USS 0009075",576,5.5
"184",2021-04-07,"USS 0009076",576,4.88
"185",2021-04-07,"USS 0015695",576,2.72
"186",2021-04-07,"USS 0017113",192,3.2
"187",2021-04-07,"USS 0017137",768,0
"188",2021-04-07,"USS 0017138",576,9.04
"189",2021-04-07,"USS 0020686",192,0.08
"190",2021-04-07,"USS 0020707",768,52.44
"191",2021-04-07,"UST 0000711",1248,31.52
"192",2021-04-07,"UST 0000712",1248,19.28
"193",2021-04-07,"UST 0000713",1248,18.28
"194",2021-04-07,"UST 0002019",1248,17.62
"195",2021-04-07,"UST 0002020",1248,15.3
"196",2021-04-07,"UST 0002021",NA,287.86
"197",2021-04-08,"USS 0004903",384,8.2
"198",2021-04-08,"USS 0004927",384,9.58
"199",2021-04-08,"USS 0004949",384,8.3
"200",2021-04-08,"USS 0004966",384,5.34
"201",2021-04-08,"USS 0005019",576,6.78
"202",2021-04-08,"USS 0008953",576,6.12
"203",2021-04-08,"USS 0008983",576,4.14
"204",2021-04-08,"USS 0009044",576,8.8
"205",2021-04-08,"USS 0009063",576,6.42
"206",2021-04-08,"USS 0009067",576,3.76
"207",2021-04-08,"USS 0009070",576,2.16
"208",2021-04-08,"USS 0009072",576,5.36
"209",2021-04-08,"USS 0009073",576,5.48
