"","date","MTR_NUMBER","conload","imp"
"2679",2021-07-05,"UST 0000712",624,9.74
"2680",2021-07-05,"UST 0000713",624,8.95
"2681",2021-07-05,"UST 0002019",624,8.68
"2682",2021-07-05,"UST 0002020",624,8.85
"2683",2021-07-05,"UST 0002021",NA,175.27
"2684",2021-07-06,"USS 0004903",192,3.9
"2685",2021-07-06,"USS 0004927",192,6.47
"2686",2021-07-06,"USS 0004949",192,5.74
"2687",2021-07-06,"USS 0004966",192,2.85
"2688",2021-07-06,"USS 0005019",288,7.36
"2689",2021-07-06,"USS 0008953",288,2.97
"2690",2021-07-06,"USS 0008983",288,4.44
"2691",2021-07-06,"USS 0009044",288,4.99
"2692",2021-07-06,"USS 0009063",288,3.35
"2693",2021-07-06,"USS 0009067",288,2.56
"2694",2021-07-06,"USS 0009070",288,3.21
"2695",2021-07-06,"USS 0009072",288,2.06
"2696",2021-07-06,"USS 0009073",288,2.61
"2697",2021-07-06,"USS 0009074",288,2.88
"2698",2021-07-06,"USS 0009075",288,2.4
"2699",2021-07-06,"USS 0009076",288,2.98
"2700",2021-07-06,"USS 0015695",288,0.96
"2701",2021-07-06,"USS 0017113",96,2.21
"2702",2021-07-06,"USS 0017137",384,0
"2703",2021-07-06,"USS 0017138",288,4.16
"2704",2021-07-06,"USS 0020686",96,0.42
"2705",2021-07-06,"USS 0020707",384,21.53
"2706",2021-07-06,"UST 0000711",624,10.34
"2707",2021-07-06,"UST 0000712",624,9.62
"2708",2021-07-06,"UST 0000713",624,8.99
"2709",2021-07-06,"UST 0002019",624,8.76
"2710",2021-07-06,"UST 0002020",624,8.9
"2711",2021-07-06,"UST 0002021",NA,157.09
"2712",2021-07-07,"USS 0004903",192,3.79
"2713",2021-07-07,"USS 0004927",192,8.8
"2714",2021-07-07,"USS 0004949",192,6.77
"2715",2021-07-07,"USS 0004966",192,2.75
"2716",2021-07-07,"USS 0005019",288,8.99
"2717",2021-07-07,"USS 0008953",288,1.74
"2718",2021-07-07,"USS 0008983",288,3.58
"2719",2021-07-07,"USS 0009044",288,5.46
"2720",2021-07-07,"USS 0009063",288,2.5
"2721",2021-07-07,"USS 0009067",288,2.44
"2722",2021-07-07,"USS 0009070",288,2.63
"2723",2021-07-07,"USS 0009072",288,2.1
"2724",2021-07-07,"USS 0009073",288,2.84
"2725",2021-07-07,"USS 0009074",288,2.51
"2726",2021-07-07,"USS 0009075",288,2.43
"2727",2021-07-07,"USS 0009076",288,2.88
"2728",2021-07-07,"USS 0015695",288,1.02
"2729",2021-07-07,"USS 0017113",96,1.74
"2730",2021-07-07,"USS 0017137",384,0
"2731",2021-07-07,"USS 0017138",288,4.89
"2732",2021-07-07,"USS 0020686",96,0.44
"2733",2021-07-07,"USS 0020707",384,21.47
"2734",2021-07-07,"UST 0000711",624,10.04
"2735",2021-07-07,"UST 0000712",624,9.55
"2736",2021-07-07,"UST 0000713",624,8.87
"2737",2021-07-07,"UST 0002019",624,8.53
"2738",2021-07-07,"UST 0002020",624,8.76
"2739",2021-07-07,"UST 0002021",NA,169.55
"2740",2021-07-08,"USS 0004903",192,4.17
"2741",2021-07-08,"USS 0004927",192,6.31
"2742",2021-07-08,"USS 0004949",192,6.06
"2743",2021-07-08,"USS 0004966",192,2.01
"2744",2021-07-08,"USS 0005019",288,9.95
"2745",2021-07-08,"USS 0008953",288,1.58
"2746",2021-07-08,"USS 0008983",288,3.67
"2747",2021-07-08,"USS 0009044",288,4.83
"2748",2021-07-08,"USS 0009063",288,2.66
"2749",2021-07-08,"USS 0009067",288,2.5
"2750",2021-07-08,"USS 0009070",288,2.94
"2751",2021-07-08,"USS 0009072",288,2.04
"2752",2021-07-08,"USS 0009073",288,3.12
"2753",2021-07-08,"USS 0009074",288,2.96
"2754",2021-07-08,"USS 0009075",288,2.43
"2755",2021-07-08,"USS 0009076",288,2.96
"2756",2021-07-08,"USS 0015695",288,0.99
"2757",2021-07-08,"USS 0017113",96,2.12
"2758",2021-07-08,"USS 0017137",384,0
"2759",2021-07-08,"USS 0017138",288,4.76
"2760",2021-07-08,"USS 0020686",96,0.49
"2761",2021-07-08,"USS 0020707",384,19.54
"2762",2021-07-08,"UST 0000711",624,9.49
"2763",2021-07-08,"UST 0000712",624,9.77
"2764",2021-07-08,"UST 0000713",624,9.05
"2765",2021-07-08,"UST 0002019",624,8.72
"2766",2021-07-08,"UST 0002020",624,8.63
"2767",2021-07-08,"UST 0002021",NA,169.34
"2768",2021-07-09,"USS 0004903",192,3.66
"2769",2021-07-09,"USS 0004927",192,5.57
"2770",2021-07-09,"USS 0004949",192,6.18
"2771",2021-07-09,"USS 0004966",192,2.9
"2772",2021-07-09,"USS 0005019",288,8.45
"2773",2021-07-09,"USS 0008953",288,2.59
"2774",2021-07-09,"USS 0008983",288,3.95
"2775",2021-07-09,"USS 0009044",288,4.21
"2776",2021-07-09,"USS 0009063",288,2.69
"2777",2021-07-09,"USS 0009067",288,2.76
"2778",2021-07-09,"USS 0009070",288,3.8
"2779",2021-07-09,"USS 0009072",288,2.04
"2780",2021-07-09,"USS 0009073",288,2.62
"2781",2021-07-09,"USS 0009074",288,3.12
"2782",2021-07-09,"USS 0009075",288,2.43
"2783",2021-07-09,"USS 0009076",288,2.99
"2784",2021-07-09,"USS 0015695",288,0.98
"2785",2021-07-09,"USS 0017113",96,1.85
"2786",2021-07-09,"USS 0017137",384,0
"2787",2021-07-09,"USS 0017138",288,4.46
"2788",2021-07-09,"USS 0020686",96,0.51
"2789",2021-07-09,"USS 0020707",384,20.45
"2790",2021-07-09,"UST 0000711",624,10.5
"2791",2021-07-09,"UST 0000712",624,9.71
"2792",2021-07-09,"UST 0000713",624,9.23
"2793",2021-07-09,"UST 0002019",624,8.72
"2794",2021-07-09,"UST 0002020",624,8.98
"2795",2021-07-09,"UST 0002021",NA,159.51
"2796",2021-07-10,"USS 0004903",192,3.73
"2797",2021-07-10,"USS 0004927",192,5.53
"2798",2021-07-10,"USS 0004949",192,5.46
"2799",2021-07-10,"USS 0004966",192,2.95
"2800",2021-07-10,"USS 0005019",288,7.96
"2801",2021-07-10,"USS 0008953",288,2.91
"2802",2021-07-10,"USS 0008983",288,4.39
"2803",2021-07-10,"USS 0009044",288,4.31
"2804",2021-07-10,"USS 0009063",288,3.43
"2805",2021-07-10,"USS 0009067",288,2.44
"2806",2021-07-10,"USS 0009070",288,2.93
"2807",2021-07-10,"USS 0009072",288,2.09
"2808",2021-07-10,"USS 0009073",288,2.67
"2809",2021-07-10,"USS 0009074",288,2.65
"2810",2021-07-10,"USS 0009075",288,2.46
"2811",2021-07-10,"USS 0009076",288,2.95
"2812",2021-07-10,"USS 0015695",288,1.06
"2813",2021-07-10,"USS 0017113",96,2.15
"2814",2021-07-10,"USS 0017137",384,0
"2815",2021-07-10,"USS 0017138",288,0.13
"2816",2021-07-10,"USS 0020686",96,0.65
"2817",2021-07-10,"USS 0020707",384,20.83
"2818",2021-07-10,"UST 0000711",624,10.38
"2819",2021-07-10,"UST 0000712",624,9.74
"2820",2021-07-10,"UST 0000713",624,9.13
"2821",2021-07-10,"UST 0002019",624,8.81
"2822",2021-07-10,"UST 0002020",624,8.82
"2823",2021-07-10,"UST 0002021",NA,176.65
"2824",2021-07-11,"USS 0004903",192,3.76
"2825",2021-07-11,"USS 0004927",192,8.78
"2826",2021-07-11,"USS 0004949",192,6.69
"2827",2021-07-11,"USS 0004966",192,3.2
"2828",2021-07-11,"USS 0005019",288,7.04
"2829",2021-07-11,"USS 0008953",288,2.96
"2830",2021-07-11,"USS 0008983",288,3.39
"2831",2021-07-11,"USS 0009044",288,4.17
"2832",2021-07-11,"USS 0009063",288,4.56
"2833",2021-07-11,"USS 0009067",288,0
"2834",2021-07-11,"USS 0009070",288,0.14
"2835",2021-07-11,"USS 0009072",288,2.08
"2836",2021-07-11,"USS 0009073",288,2.58
"2837",2021-07-11,"USS 0009074",288,2.57
"2838",2021-07-11,"USS 0009075",288,2.31
"2839",2021-07-11,"USS 0009076",288,2.93
"2840",2021-07-11,"USS 0015695",288,0.71
"2841",2021-07-11,"USS 0017113",96,0.02
"2842",2021-07-11,"USS 0017137",384,0
"2843",2021-07-11,"USS 0017138",288,1.45
"2844",2021-07-11,"USS 0020686",96,0.38
"2845",2021-07-11,"USS 0020707",384,19.94
"2846",2021-07-11,"UST 0000711",624,10.55
"2847",2021-07-11,"UST 0000712",624,9.93
"2848",2021-07-11,"UST 0000713",624,9.15
"2849",2021-07-11,"UST 0002019",624,9.32
"2850",2021-07-11,"UST 0002020",624,9.05
"2851",2021-07-11,"UST 0002021",NA,175.15
"2852",2021-07-12,"USS 0004903",192,4.6
"2853",2021-07-12,"USS 0004927",192,8.99
"2854",2021-07-12,"USS 0004949",192,6.21
"2855",2021-07-12,"USS 0004966",192,3.03
"2856",2021-07-12,"USS 0005019",288,7.72
"2857",2021-07-12,"USS 0008953",288,3.58
"2858",2021-07-12,"USS 0008983",288,5.66
"2859",2021-07-12,"USS 0009044",288,5
"2860",2021-07-12,"USS 0009063",288,3.7
"2861",2021-07-12,"USS 0009067",288,2.55
"2862",2021-07-12,"USS 0009070",288,3.97
"2863",2021-07-12,"USS 0009072",288,2.14
"2864",2021-07-12,"USS 0009073",288,2.66
"2865",2021-07-12,"USS 0009074",288,2.66
"2866",2021-07-12,"USS 0009075",288,2.36
"2867",2021-07-12,"USS 0009076",288,3.14
"2868",2021-07-12,"USS 0015695",288,1.01
"2869",2021-07-12,"USS 0017113",96,2.17
"2870",2021-07-12,"USS 0017137",384,0
"2871",2021-07-12,"USS 0017138",288,4.08
"2872",2021-07-12,"USS 0020686",96,0.61
"2873",2021-07-12,"USS 0020707",384,18.54
"2874",2021-07-12,"UST 0000711",624,11.47
"2875",2021-07-12,"UST 0000712",624,9.93
"2876",2021-07-12,"UST 0000713",624,9.15
"2877",2021-07-12,"UST 0002019",624,12.24
"2878",2021-07-12,"UST 0002020",624,9.02
"2879",2021-07-12,"UST 0002021",NA,175
"2880",2021-07-13,"USS 0004903",192,3.73
"2881",2021-07-13,"USS 0004927",192,5.22
"2882",2021-07-13,"USS 0004949",192,6.08
"2883",2021-07-13,"USS 0004966",192,3.59
"2884",2021-07-13,"USS 0005019",288,7.99
"2885",2021-07-13,"USS 0008953",288,3.12
"2886",2021-07-13,"USS 0008983",288,6.02
"2887",2021-07-13,"USS 0009044",288,4.58
"2888",2021-07-13,"USS 0009063",288,2.99
"2889",2021-07-13,"USS 0009067",288,2.34
"2890",2021-07-13,"USS 0009070",288,0.85
"2891",2021-07-13,"USS 0009072",288,2.13
"2892",2021-07-13,"USS 0009073",288,2.67
"2893",2021-07-13,"USS 0009074",288,2.67
"2894",2021-07-13,"USS 0009075",288,2.45
"2895",2021-07-13,"USS 0009076",288,3.19
"2896",2021-07-13,"USS 0015695",288,0.74
"2897",2021-07-13,"USS 0017113",96,2.25
"2898",2021-07-13,"USS 0017137",384,0
"2899",2021-07-13,"USS 0017138",288,4.04
"2900",2021-07-13,"USS 0020686",96,0
"2901",2021-07-13,"USS 0020707",384,19.58
"2902",2021-07-13,"UST 0000711",624,10.56
"2903",2021-07-13,"UST 0000712",624,9.9
"2904",2021-07-13,"UST 0000713",624,9.15
"2905",2021-07-13,"UST 0002019",624,8.88
"2906",2021-07-13,"UST 0002020",624,8.95
"2907",2021-07-13,"UST 0002021",NA,155.61
"2908",2021-07-14,"USS 0004903",192,4.37
"2909",2021-07-14,"USS 0004927",192,4.87
"2910",2021-07-14,"USS 0004949",192,6.21
"2911",2021-07-14,"USS 0004966",192,4.27
"2912",2021-07-14,"USS 0005019",288,7.65
"2913",2021-07-14,"USS 0008953",288,3.36
"2914",2021-07-14,"USS 0008983",288,5.3
"2915",2021-07-14,"USS 0009044",288,4.8
"2916",2021-07-14,"USS 0009063",288,5.7
"2917",2021-07-14,"USS 0009067",288,2.5
"2918",2021-07-14,"USS 0009070",288,3.17
"2919",2021-07-14,"USS 0009072",288,2.2
"2920",2021-07-14,"USS 0009073",288,2.66
"2921",2021-07-14,"USS 0009074",288,2.55
"2922",2021-07-14,"USS 0009075",288,2.24
"2923",2021-07-14,"USS 0009076",288,3.14
"2924",2021-07-14,"USS 0015695",288,0.62
"2925",2021-07-14,"USS 0017113",96,1.6
"2926",2021-07-14,"USS 0017137",384,0
"2927",2021-07-14,"USS 0017138",288,3.3
"2928",2021-07-14,"USS 0020686",96,0.59
"2929",2021-07-14,"USS 0020707",384,20.71
"2930",2021-07-14,"UST 0000711",624,10.28
"2931",2021-07-14,"UST 0000712",624,9.84
"2932",2021-07-14,"UST 0000713",624,9.14
"2933",2021-07-14,"UST 0002019",624,8.87
"2934",2021-07-14,"UST 0002020",624,8.85
"2935",2021-07-14,"UST 0002021",NA,172.18
"2936",2021-07-15,"USS 0004903",192,3.63
"2937",2021-07-15,"USS 0004927",192,5.92
"2938",2021-07-15,"USS 0004949",192,5.65
"2939",2021-07-15,"USS 0004966",192,2.93
"2940",2021-07-15,"USS 0005019",288,10.94
"2941",2021-07-15,"USS 0008953",288,3.47
"2942",2021-07-15,"USS 0008983",288,5.58
"2943",2021-07-15,"USS 0009044",288,4.14
"2944",2021-07-15,"USS 0009063",288,2.93
"2945",2021-07-15,"USS 0009067",288,3.05
"2946",2021-07-15,"USS 0009070",288,4.73
"2947",2021-07-15,"USS 0009072",288,2.1
"2948",2021-07-15,"USS 0009073",288,2.64
"2949",2021-07-15,"USS 0009074",288,2.36
"2950",2021-07-15,"USS 0009075",288,2.23
"2951",2021-07-15,"USS 0009076",288,3.1
"2952",2021-07-15,"USS 0015695",288,0.6
"2953",2021-07-15,"USS 0017113",96,1.44
"2954",2021-07-15,"USS 0017137",384,0
"2955",2021-07-15,"USS 0017138",288,3.49
"2956",2021-07-15,"USS 0020686",96,0.63
"2957",2021-07-15,"USS 0020707",384,19.96
"2958",2021-07-15,"UST 0000711",624,10.14
"2959",2021-07-15,"UST 0000712",624,9.81
"2960",2021-07-15,"UST 0000713",624,9.05
"2961",2021-07-15,"UST 0002019",624,9.06
"2962",2021-07-15,"UST 0002020",624,8.85
"2963",2021-07-15,"UST 0002021",NA,162.41
"2964",2021-07-16,"USS 0004903",192,3.59
"2965",2021-07-16,"USS 0004927",192,5.75
"2966",2021-07-16,"USS 0004949",192,3.91
"2967",2021-07-16,"USS 0004966",192,3.02
"2968",2021-07-16,"USS 0005019",288,8.86
"2969",2021-07-16,"USS 0008953",288,4.36
"2970",2021-07-16,"USS 0008983",288,6.39
"2971",2021-07-16,"USS 0009044",288,4.96
"2972",2021-07-16,"USS 0009063",288,3.68
"2973",2021-07-16,"USS 0009067",288,1.85
"2974",2021-07-16,"USS 0009070",288,4.39
"2975",2021-07-16,"USS 0009072",288,2.11
"2976",2021-07-16,"USS 0009073",288,2.65
"2977",2021-07-16,"USS 0009074",288,2.41
"2978",2021-07-16,"USS 0009075",288,2.23
"2979",2021-07-16,"USS 0009076",288,3.14
"2980",2021-07-16,"USS 0015695",288,1.47
"2981",2021-07-16,"USS 0017113",96,1.54
"2982",2021-07-16,"USS 0017137",384,0
"2983",2021-07-16,"USS 0017138",288,4.02
"2984",2021-07-16,"USS 0020686",96,0.56
"2985",2021-07-16,"USS 0020707",384,20.55
"2986",2021-07-16,"UST 0000711",624,10.34
"2987",2021-07-16,"UST 0000712",624,9.76
"2988",2021-07-16,"UST 0000713",624,9.07
"2989",2021-07-16,"UST 0002019",624,9.02
"2990",2021-07-16,"UST 0002020",624,8.77
"2991",2021-07-16,"UST 0002021",NA,164.63
"2992",2021-07-17,"USS 0004903",192,3.62
"2993",2021-07-17,"USS 0004927",192,4.87
"2994",2021-07-17,"USS 0004949",192,5.17
"2995",2021-07-17,"USS 0004966",192,3.03
"2996",2021-07-17,"USS 0005019",288,5.06
"2997",2021-07-17,"USS 0008953",288,3.58
"2998",2021-07-17,"USS 0008983",288,5.07
"2999",2021-07-17,"USS 0009044",288,4.1
"3000",2021-07-17,"USS 0009063",288,3.29
"3001",2021-07-17,"USS 0009067",288,2.45
"3002",2021-07-17,"USS 0009070",288,2.34
"3003",2021-07-17,"USS 0009072",288,2.09
"3004",2021-07-17,"USS 0009073",288,2.64
"3005",2021-07-17,"USS 0009074",288,2.35
"3006",2021-07-17,"USS 0009075",288,2.22
"3007",2021-07-17,"USS 0009076",288,3.14
"3008",2021-07-17,"USS 0015695",288,0.65
"3009",2021-07-17,"USS 0017113",96,1.9
"3010",2021-07-17,"USS 0017137",384,0
"3011",2021-07-17,"USS 0017138",288,0.13
"3012",2021-07-17,"USS 0020686",96,0.87
"3013",2021-07-17,"USS 0020707",384,17.29
"3014",2021-07-17,"UST 0000711",624,9.97
"3015",2021-07-17,"UST 0000712",624,9.74
"3016",2021-07-17,"UST 0000713",624,9.03
"3017",2021-07-17,"UST 0002019",624,8.86
"3018",2021-07-17,"UST 0002020",624,8.62
"3019",2021-07-17,"UST 0002021",NA,177.31
"3020",2021-07-18,"USS 0004903",192,3.9
"3021",2021-07-18,"USS 0004927",192,6.2
"3022",2021-07-18,"USS 0004949",192,5.68
"3023",2021-07-18,"USS 0004966",192,3.09
"3024",2021-07-18,"USS 0005019",288,8.94
"3025",2021-07-18,"USS 0008953",288,3.93
"3026",2021-07-18,"USS 0008983",288,5.55
"3027",2021-07-18,"USS 0009044",288,4.67
"3028",2021-07-18,"USS 0009063",288,2.79
"3029",2021-07-18,"USS 0009067",288,2.2
"3030",2021-07-18,"USS 0009070",288,0.94
"3031",2021-07-18,"USS 0009072",288,2.13
"3032",2021-07-18,"USS 0009073",288,2.67
"3033",2021-07-18,"USS 0009074",288,2.47
"3034",2021-07-18,"USS 0009075",288,2.25
"3035",2021-07-18,"USS 0009076",288,3.15
"3036",2021-07-18,"USS 0015695",288,1.19
"3037",2021-07-18,"USS 0017113",96,0.02
"3038",2021-07-18,"USS 0017137",384,0
"3039",2021-07-18,"USS 0017138",288,1.86
"3040",2021-07-18,"USS 0020686",96,0.5
"3041",2021-07-18,"USS 0020707",384,17.54
"3042",2021-07-18,"UST 0000711",624,10.14
"3043",2021-07-18,"UST 0000712",624,10.05
"3044",2021-07-18,"UST 0000713",624,9.16
"3045",2021-07-18,"UST 0002019",624,11.27
"3046",2021-07-18,"UST 0002020",624,9.6
"3047",2021-07-18,"UST 0002021",NA,175.16
"3048",2021-07-19,"USS 0004903",192,3.51
"3049",2021-07-19,"USS 0004927",192,4.81
"3050",2021-07-19,"USS 0004949",192,4.25
"3051",2021-07-19,"USS 0004966",192,2.93
"3052",2021-07-19,"USS 0005019",288,4.65
"3053",2021-07-19,"USS 0008953",288,3.58
"3054",2021-07-19,"USS 0008983",288,4.1
"3055",2021-07-19,"USS 0009044",288,3.93
"3056",2021-07-19,"USS 0009063",288,2.89
"3057",2021-07-19,"USS 0009067",288,3.08
"3058",2021-07-19,"USS 0009070",288,1.56
"3059",2021-07-19,"USS 0009072",288,2.14
"3060",2021-07-19,"USS 0009073",288,2.67
"3061",2021-07-19,"USS 0009074",288,2.5
"3062",2021-07-19,"USS 0009075",288,2.25
"3063",2021-07-19,"USS 0009076",288,3.13
"3064",2021-07-19,"USS 0015695",288,1.12
"3065",2021-07-19,"USS 0017113",96,1.99
"3066",2021-07-19,"USS 0017137",384,0
"3067",2021-07-19,"USS 0017138",288,3.38
"3068",2021-07-19,"USS 0020686",96,0.81
"3069",2021-07-19,"USS 0020707",384,18.36
"3070",2021-07-19,"UST 0000711",624,9.96
"3071",2021-07-19,"UST 0000712",624,9.93
"3072",2021-07-19,"UST 0000713",624,9.15
"3073",2021-07-19,"UST 0002019",624,9.03
"3074",2021-07-19,"UST 0002020",624,11.33
"3075",2021-07-19,"UST 0002021",NA,169.32
"3076",2021-07-20,"USS 0004903",192,3.74
"3077",2021-07-20,"USS 0004927",192,4.67
"3078",2021-07-20,"USS 0004949",192,4.13
"3079",2021-07-20,"USS 0004966",192,3.1
"3080",2021-07-20,"USS 0005019",288,3.85
"3081",2021-07-20,"USS 0008953",288,3.53
"3082",2021-07-20,"USS 0008983",288,4.23
"3083",2021-07-20,"USS 0009044",288,3.82
"3084",2021-07-20,"USS 0009063",288,2.79
"3085",2021-07-20,"USS 0009067",288,2.91
"3086",2021-07-20,"USS 0009070",288,1.18
"3087",2021-07-20,"USS 0009072",288,2.14
"3088",2021-07-20,"USS 0009073",288,2.66
"3089",2021-07-20,"USS 0009074",288,2.5
"3090",2021-07-20,"USS 0009075",288,2.25
"3091",2021-07-20,"USS 0009076",288,3.2
"3092",2021-07-20,"USS 0015695",288,1.45
"3093",2021-07-20,"USS 0017113",96,2.4
"3094",2021-07-20,"USS 0017137",384,0
"3095",2021-07-20,"USS 0017138",288,3.17
"3096",2021-07-20,"USS 0020686",96,0.9
"3097",2021-07-20,"USS 0020707",384,17.64
"3098",2021-07-20,"UST 0000711",624,9.5
"3099",2021-07-20,"UST 0000712",624,10.38
"3100",2021-07-20,"UST 0000713",624,9.34
"3101",2021-07-20,"UST 0002019",624,9.13
"3102",2021-07-20,"UST 0002020",624,10.44
"3103",2021-07-20,"UST 0002021",NA,155.57
"3104",2021-07-21,"USS 0004903",192,3.41
"3105",2021-07-21,"USS 0004927",192,4.09
"3106",2021-07-21,"USS 0004949",192,3.47
"3107",2021-07-21,"USS 0004966",192,2.98
"3108",2021-07-21,"USS 0005019",288,5.07
"3109",2021-07-21,"USS 0008953",288,4.26
"3110",2021-07-21,"USS 0008983",288,4.2
"3111",2021-07-21,"USS 0009044",288,3.53
"3112",2021-07-21,"USS 0009063",288,3.21
"3113",2021-07-21,"USS 0009067",288,2.78
"3114",2021-07-21,"USS 0009070",288,1.32
"3115",2021-07-21,"USS 0009072",288,2.1
"3116",2021-07-21,"USS 0009073",288,2.64
"3117",2021-07-21,"USS 0009074",288,2.48
"3118",2021-07-21,"USS 0009075",288,2.23
"3119",2021-07-21,"USS 0009076",288,3.16
"3120",2021-07-21,"USS 0015695",288,0.55
"3121",2021-07-21,"USS 0017113",96,1.78
"3122",2021-07-21,"USS 0017137",384,0
"3123",2021-07-21,"USS 0017138",288,1.43
"3124",2021-07-21,"USS 0020686",96,0.78
"3125",2021-07-21,"USS 0020707",384,17.77
"3126",2021-07-21,"UST 0000711",624,9.49
"3127",2021-07-21,"UST 0000712",624,9.95
"3128",2021-07-21,"UST 0000713",624,9.23
"3129",2021-07-21,"UST 0002019",624,9.1
"3130",2021-07-21,"UST 0002020",624,8.86
"3131",2021-07-21,"UST 0002021",NA,169.25
"3132",2021-07-22,"USS 0004903",192,3.71
"3133",2021-07-22,"USS 0004927",192,4.34
"3134",2021-07-22,"USS 0004949",192,4.73
"3135",2021-07-22,"USS 0004966",192,2.9
"3136",2021-07-22,"USS 0005019",288,4.43
"3137",2021-07-22,"USS 0008953",288,4.3
"3138",2021-07-22,"USS 0008983",288,4.63
"3139",2021-07-22,"USS 0009044",288,4.74
"3140",2021-07-22,"USS 0009063",288,2.58
"3141",2021-07-22,"USS 0009067",288,2.89
"3142",2021-07-22,"USS 0009070",288,2.72
"3143",2021-07-22,"USS 0009072",288,2.1
"3144",2021-07-22,"USS 0009073",288,2.65
"3145",2021-07-22,"USS 0009074",288,2.43
"3146",2021-07-22,"USS 0009075",288,2.24
"3147",2021-07-22,"USS 0009076",288,3.11
"3148",2021-07-22,"USS 0015695",288,1.07
"3149",2021-07-22,"USS 0017113",96,2.05
"3150",2021-07-22,"USS 0017137",384,0
"3151",2021-07-22,"USS 0017138",288,3.21
"3152",2021-07-22,"USS 0020686",96,0.65
"3153",2021-07-22,"USS 0020707",384,21.48
"3154",2021-07-22,"UST 0000711",624,9.51
"3155",2021-07-22,"UST 0000712",624,9.85
"3156",2021-07-22,"UST 0000713",624,9.17
"3157",2021-07-22,"UST 0002019",624,8.94
"3158",2021-07-22,"UST 0002020",624,8.73
"3159",2021-07-22,"UST 0002021",NA,176.77
"3160",2021-07-23,"USS 0004903",192,3.94
"3161",2021-07-23,"USS 0004927",192,4.95
"3162",2021-07-23,"USS 0004949",192,4.24
"3163",2021-07-23,"USS 0004966",192,2.76
"3164",2021-07-23,"USS 0005019",288,7.93
"3165",2021-07-23,"USS 0008953",288,4.37
"3166",2021-07-23,"USS 0008983",288,4.23
"3167",2021-07-23,"USS 0009044",288,4.63
"3168",2021-07-23,"USS 0009063",288,3.06
"3169",2021-07-23,"USS 0009067",288,2.89
"3170",2021-07-23,"USS 0009070",288,2.5
"3171",2021-07-23,"USS 0009072",288,2.13
"3172",2021-07-23,"USS 0009073",288,2.68
"3173",2021-07-23,"USS 0009074",288,2.39
"3174",2021-07-23,"USS 0009075",288,2.25
"3175",2021-07-23,"USS 0009076",288,3.1
"3176",2021-07-23,"USS 0015695",288,0.61
"3177",2021-07-23,"USS 0017113",96,1.36
"3178",2021-07-23,"USS 0017137",384,0
"3179",2021-07-23,"USS 0017138",288,2.9
"3180",2021-07-23,"USS 0020686",96,0.75
"3181",2021-07-23,"USS 0020707",384,18.98
"3182",2021-07-23,"UST 0000711",624,10.3
"3183",2021-07-23,"UST 0000712",624,9.37
"3184",2021-07-23,"UST 0000713",624,8.66
"3185",2021-07-23,"UST 0002019",624,8.59
"3186",2021-07-23,"UST 0002020",624,8.16
"3187",2021-07-23,"UST 0002021",NA,184.21
"3188",2021-07-24,"USS 0004903",192,3.91
"3189",2021-07-24,"USS 0004927",192,5.06
"3190",2021-07-24,"USS 0004949",192,3.65
"3191",2021-07-24,"USS 0004966",192,3
"3192",2021-07-24,"USS 0005019",288,5.42
"3193",2021-07-24,"USS 0008953",288,4.51
"3194",2021-07-24,"USS 0008983",288,4.38
"3195",2021-07-24,"USS 0009044",288,4.47
"3196",2021-07-24,"USS 0009063",288,3.14
"3197",2021-07-24,"USS 0009067",288,3.09
"3198",2021-07-24,"USS 0009070",288,1.23
"3199",2021-07-24,"USS 0009072",288,2.18
"3200",2021-07-24,"USS 0009073",288,2.71
"3201",2021-07-24,"USS 0009074",288,2.53
"3202",2021-07-24,"USS 0009075",288,2.27
"3203",2021-07-24,"USS 0009076",288,3.17
"3204",2021-07-24,"USS 0015695",288,1.33
"3205",2021-07-24,"USS 0017113",96,2.45
"3206",2021-07-24,"USS 0017137",384,0
"3207",2021-07-24,"USS 0017138",288,1.05
"3208",2021-07-24,"USS 0020686",96,0.41
"3209",2021-07-24,"USS 0020707",384,19.54
"3210",2021-07-24,"UST 0000711",624,10.43
"3211",2021-07-24,"UST 0000712",624,10.08
"3212",2021-07-24,"UST 0000713",624,9.2
"3213",2021-07-24,"UST 0002019",624,8.88
"3214",2021-07-24,"UST 0002020",624,8.62
"3215",2021-07-24,"UST 0002021",NA,165.4
"3216",2021-07-25,"USS 0004903",192,4.9
"3217",2021-07-25,"USS 0004927",192,4.67
"3218",2021-07-25,"USS 0004949",192,4.69
"3219",2021-07-25,"USS 0004966",192,2.92
"3220",2021-07-25,"USS 0005019",288,2.99
"3221",2021-07-25,"USS 0008953",288,5.2
"3222",2021-07-25,"USS 0008983",288,3.95
"3223",2021-07-25,"USS 0009044",288,3.62
"3224",2021-07-25,"USS 0009063",288,3.01
"3225",2021-07-25,"USS 0009067",288,2.46
"3226",2021-07-25,"USS 0009070",288,0.9
"3227",2021-07-25,"USS 0009072",288,2.29
"3228",2021-07-25,"USS 0009073",288,2.68
"3229",2021-07-25,"USS 0009074",288,2.54
"3230",2021-07-25,"USS 0009075",288,2.25
"3231",2021-07-25,"USS 0009076",288,3.21
"3232",2021-07-25,"USS 0015695",288,1.18
"3233",2021-07-25,"USS 0017113",96,0
"3234",2021-07-25,"USS 0017137",384,0
"3235",2021-07-25,"USS 0017138",288,2.64
"3236",2021-07-25,"USS 0020686",96,0.5
"3237",2021-07-25,"USS 0020707",384,17.68
"3238",2021-07-25,"UST 0000711",624,10.64
