"","date","CATEGORY","conload","imp"
"125",2021-05-12,"Residential",1920,39.14
"126",2021-05-12,"Water Works",NA,159.28
"127",2021-05-13,"MSI",6716,79.26
"128",2021-05-13,"Residential",1920,39.07
"129",2021-05-13,"Water Works",NA,164.51
"130",2021-05-14,"MSI",6896,86.27
"131",2021-05-14,"Residential",1920,38.27
"132",2021-05-14,"Water Works",NA,178.63
"133",2021-05-15,"MSI",6760,81.7
"134",2021-05-15,"Residential",1920,39.32
"135",2021-05-15,"Water Works",NA,135.17
"136",2021-05-16,"MSI",6612,76.24
"137",2021-05-16,"Residential",1920,43.1
"138",2021-05-16,"Water Works",NA,168.72
"139",2021-05-17,"MSI",6744,78.61
"140",2021-05-17,"Residential",1920,42.03
"141",2021-05-17,"Water Works",NA,152.72
"142",2021-05-18,"MSI",5827,49.76
"143",2021-05-18,"Residential",1616,24.13
"144",2021-05-18,"Water Works",NA,51.86
"145",2021-05-19,"MSI",6584,65.27
"146",2021-05-19,"Residential",1920,22.9
"147",2021-05-19,"Water Works",NA,202.96
"148",2021-05-20,"MSI",6576,64.8
"149",2021-05-20,"Residential",1920,34.33
"150",2021-05-20,"Water Works",NA,164.59
"151",2021-05-21,"MSI",6692,71.83
"152",2021-05-21,"Residential",1920,33
"153",2021-05-21,"Water Works",NA,149.8
"154",2021-05-22,"MSI",6440,66.86
"155",2021-05-22,"Residential",1876,33.19
"156",2021-05-22,"Water Works",NA,173.95
"157",2021-05-23,"MSI",6772,81.29
"158",2021-05-23,"Residential",1920,34.62
"159",2021-05-23,"Water Works",NA,135.73
"160",2021-05-24,"MSI",6355,86.03
"161",2021-05-24,"Residential",1737,33.65
"162",2021-05-24,"Water Works",NA,161.88
"163",2021-05-25,"MSI",5249,80.67
"164",2021-05-25,"Residential",1427,30.46
"165",2021-05-25,"Water Works",NA,139.92
"166",2021-05-26,"MSI",6716,93.53
"167",2021-05-26,"Residential",1847,36.49
"168",2021-05-26,"Water Works",NA,148.27
"169",2021-05-27,"MSI",6872,92.3
"170",2021-05-27,"Residential",1914,38
"171",2021-05-27,"Water Works",NA,160.89
"172",2021-05-28,"MSI",6960,94.15
"173",2021-05-28,"Residential",1920,36.85
"174",2021-05-28,"Water Works",NA,122.57
"175",2021-05-29,"MSI",6960,90.23
"176",2021-05-29,"Residential",1920,39.39
"177",2021-05-29,"Water Works",NA,202.45
"178",2021-05-30,"MSI",6960,90.49
"179",2021-05-30,"Residential",1920,40.96
"180",2021-05-30,"Water Works",NA,132.25
"181",2021-05-31,"MSI",6960,99.64
"182",2021-05-31,"Residential",1920,39.54
"183",2021-05-31,"Water Works",NA,170.58
"184",2021-06-01,"MSI",6632,75.68
"185",2021-06-01,"Residential",1920,35.32
"186",2021-06-01,"Water Works",NA,157.82
"187",2021-06-02,"MSI",6944,95.08
"188",2021-06-02,"Residential",1920,37.41
"189",2021-06-02,"Water Works",NA,164.27
"190",2021-06-03,"MSI",6808,94.79
"191",2021-06-03,"Residential",1876,31.02
"192",2021-06-03,"Water Works",NA,183.93
"193",2021-06-04,"MSI",6960,97.05
"194",2021-06-04,"Residential",1920,29.34
"195",2021-06-04,"Water Works",NA,154.96
"196",2021-06-05,"MSI",6712,81.1
"197",2021-06-05,"Residential",1920,32.82
"198",2021-06-05,"Water Works",NA,131.89
"199",2021-06-06,"MSI",6788,82.28
"200",2021-06-06,"Residential",1920,33.15
"201",2021-06-06,"Water Works",NA,215.95
"202",2021-06-07,"MSI",6678.5,85.07
"203",2021-06-07,"Residential",1915,31.72
"204",2021-06-07,"Water Works",NA,159.89
"205",2021-06-08,"MSI",6960,106.27
"206",2021-06-08,"Residential",1920,33.33
"207",2021-06-08,"Water Works",NA,150.29
"208",2021-06-09,"MSI",6960,105.84
"209",2021-06-09,"Residential",1920,33.79
"210",2021-06-09,"Water Works",NA,163.95
"211",2021-06-10,"MSI",6960,107.78
"212",2021-06-10,"Residential",1920,28.98
"213",2021-06-10,"Water Works",NA,155.06
"214",2021-06-11,"MSI",6960,107.59
"215",2021-06-11,"Residential",1920,28.65
"216",2021-06-11,"Water Works",NA,143.72
"217",2021-06-12,"MSI",6904,100.27
"218",2021-06-12,"Residential",1920,33.9
"219",2021-06-12,"Water Works",NA,152.42
"220",2021-06-13,"MSI",6704,93.87
"221",2021-06-13,"Residential",1920,39.67
"222",2021-06-13,"Water Works",NA,197.37
"223",2021-06-14,"MSI",6576,85.77
"224",2021-06-14,"Residential",1920,39.44
"225",2021-06-14,"Water Works",NA,146.85
"226",2021-06-15,"MSI",6880,83.4
"227",2021-06-15,"Residential",1920,22.96
"228",2021-06-15,"Water Works",NA,143.83
"229",2021-06-16,"MSI",6873.5,98.53
"230",2021-06-16,"Residential",1902,36.68
"231",2021-06-16,"Water Works",NA,184.49
"232",2021-06-17,"MSI",6884,92.01
"233",2021-06-17,"Residential",1920,34.15
"234",2021-06-17,"Water Works",NA,177.49
"235",2021-06-18,"MSI",6576,83.74
"236",2021-06-18,"Residential",1920,30.56
"237",2021-06-18,"Water Works",NA,144.47
"238",2021-06-19,"MSI",6936,94.89
"239",2021-06-19,"Residential",1920,29.4
"240",2021-06-19,"Water Works",NA,149.74
"241",2021-06-20,"MSI",6920,87.27
"242",2021-06-20,"Residential",1920,27.79
"243",2021-06-20,"Water Works",NA,153.84
"244",2021-06-21,"MSI",6960,95.03
"245",2021-06-21,"Residential",1920,25.19
"246",2021-06-21,"Water Works",NA,156.65
"247",2021-06-22,"MSI",6209,77.15
"248",2021-06-22,"Residential",1700,21.5
"249",2021-06-22,"Water Works",NA,139.51
"250",2021-06-23,"MSI",5101,80.56
"251",2021-06-23,"Residential",1383,21.04
"252",2021-06-23,"Water Works",NA,96.48
"253",2021-06-24,"MSI",6960,94.54
"254",2021-06-24,"Residential",1920,30.5
"255",2021-06-24,"Water Works",NA,169.7
"256",2021-06-25,"MSI",6960,93
"257",2021-06-25,"Residential",1920,29.16
"258",2021-06-25,"Water Works",NA,152.76
"259",2021-06-26,"MSI",6960,90.51
"260",2021-06-26,"Residential",1920,31.75
"261",2021-06-26,"Water Works",NA,165.02
"262",2021-06-27,"MSI",6960,100.29
"263",2021-06-27,"Residential",1920,35.66
"264",2021-06-27,"Water Works",NA,159.57
"265",2021-06-28,"MSI",6960,94.59
"266",2021-06-28,"Residential",1920,33.85
"267",2021-06-28,"Water Works",NA,168.19
"268",2021-06-29,"MSI",5444,76.15
"269",2021-06-29,"Residential",1483,30.09
"270",2021-06-29,"Water Works",NA,79.11
"271",2021-06-30,"MSI",6323.5,84.29
"272",2021-06-30,"Residential",1603,28.81
"273",2021-06-30,"Water Works",NA,149.62
"274",2021-07-01,"MSI",6960,101.44
"275",2021-07-01,"Residential",1920,34.02
"276",2021-07-01,"Water Works",NA,142.46
"277",2021-07-02,"MSI",6960,99.7
"278",2021-07-02,"Residential",1920,32.48
"279",2021-07-02,"Water Works",NA,154.54
"280",2021-07-03,"MSI",6960,94.66
"281",2021-07-03,"Residential",1920,34.69
"282",2021-07-03,"Water Works",NA,173.51
"283",2021-07-04,"MSI",6960,94.58
"284",2021-07-04,"Residential",1920,34.15
"285",2021-07-04,"Water Works",NA,134.45
"286",2021-07-05,"MSI",6960,102.35
"287",2021-07-05,"Residential",1920,31.02
"288",2021-07-05,"Water Works",NA,175.27
"289",2021-07-06,"MSI",6960,101.95
"290",2021-07-06,"Residential",1920,34.71
"291",2021-07-06,"Water Works",NA,157.09
"292",2021-07-07,"MSI",6960,102.13
"293",2021-07-07,"Residential",1920,35.39
"294",2021-07-07,"Water Works",NA,169.55
"295",2021-07-08,"MSI",6960,102.46
"296",2021-07-08,"Residential",1920,31.29
"297",2021-07-08,"Water Works",NA,169.34
"298",2021-07-09,"MSI",6960,103.6
"299",2021-07-09,"Residential",1920,31.75
"300",2021-07-09,"Water Works",NA,159.51
"301",2021-07-10,"MSI",6960,97.85
"302",2021-07-10,"Residential",1920,32.71
"303",2021-07-10,"Water Works",NA,176.65
"304",2021-07-11,"MSI",6960,90.15
"305",2021-07-11,"Residential",1920,37.51
"306",2021-07-11,"Water Works",NA,175.15
"307",2021-07-12,"MSI",6960,105.42
"308",2021-07-12,"Residential",1920,40.77
"309",2021-07-12,"Water Works",NA,175
"310",2021-07-13,"MSI",6960,98.34
"311",2021-07-13,"Residential",1920,35.33
"312",2021-07-13,"Water Works",NA,155.61
"313",2021-07-14,"MSI",6960,99.91
"314",2021-07-14,"Residential",1920,38.88
"315",2021-07-14,"Water Works",NA,172.18
"316",2021-07-15,"MSI",6960,104.18
"317",2021-07-15,"Residential",1920,34.25
"318",2021-07-15,"Water Works",NA,162.41
"319",2021-07-16,"MSI",6960,102.74
"320",2021-07-16,"Residential",1920,35.66
"321",2021-07-16,"Water Works",NA,164.63
"322",2021-07-17,"MSI",6960,89.35
"323",2021-07-17,"Residential",1920,32.73
"324",2021-07-17,"Water Works",NA,177.31
"325",2021-07-18,"MSI",6960,96.08
"326",2021-07-18,"Residential",1920,35.81
"327",2021-07-18,"Water Works",NA,175.16
"328",2021-07-19,"MSI",6960,97.04
"329",2021-07-19,"Residential",1920,30
"330",2021-07-19,"Water Works",NA,169.32
"331",2021-07-20,"MSI",6960,95.04
"332",2021-07-20,"Residential",1920,30.01
"333",2021-07-20,"Water Works",NA,155.57
"334",2021-07-21,"MSI",6960,90.72
"335",2021-07-21,"Residential",1920,29.15
"336",2021-07-21,"Water Works",NA,169.25
"337",2021-07-22,"MSI",6960,97.23
"338",2021-07-22,"Residential",1920,31.93
"339",2021-07-22,"Water Works",NA,176.77
"340",2021-07-23,"MSI",6960,95.55
"341",2021-07-23,"Residential",1920,32.18
"342",2021-07-23,"Water Works",NA,184.21
"343",2021-07-24,"MSI",6960,94.59
"344",2021-07-24,"Residential",1920,32.12
"345",2021-07-24,"Water Works",NA,165.4
"346",2021-07-25,"MSI",6960,89.05
"347",2021-07-25,"Residential",1920,32.96
"348",2021-07-25,"Water Works",NA,177.29
"349",2021-07-26,"MSI",6960,89.01
"350",2021-07-26,"Residential",1920,28.91
"351",2021-07-26,"Water Works",NA,158.71
"352",2021-07-27,"MSI",6960,86.45
"353",2021-07-27,"Residential",1920,27.26
"354",2021-07-27,"Water Works",NA,162.31
"355",2021-07-28,"MSI",6960,86.74
"356",2021-07-28,"Residential",1920,27.02
"357",2021-07-28,"Water Works",NA,174.44
"358",2021-07-29,"MSI",6960,86.92
"359",2021-07-29,"Residential",1920,28.28
"360",2021-07-29,"Water Works",NA,154.91
"361",2021-07-30,"MSI",6960,86.38
"362",2021-07-30,"Residential",1920,26.61
"363",2021-07-30,"Water Works",NA,142.45
"364",2021-07-31,"MSI",6960,87.21
"365",2021-07-31,"Residential",1920,27.36
"366",2021-07-31,"Water Works",NA,142.26
"367",2021-08-01,"MSI",6960,83.76
"368",2021-08-01,"Residential",1920,30.32
"369",2021-08-01,"Water Works",NA,144.5
"370",2021-08-02,"MSI",6885,88.19
"371",2021-08-02,"Residential",1895,29.64
"372",2021-08-02,"Water Works",NA,138.77
"373",2021-08-03,"MSI",6960,88.35
"374",2021-08-03,"Residential",1920,32.99
"375",2021-08-03,"Water Works",NA,161.3
"376",2021-08-04,"MSI",6960,90.89
"377",2021-08-04,"Residential",1920,31.64
"378",2021-08-04,"Water Works",NA,131.87
"379",2021-08-05,"MSI",6960,89.66
"380",2021-08-05,"Residential",1920,32.97
"381",2021-08-05,"Water Works",NA,146.48
"382",2021-08-06,"MSI",6960,90.26
"383",2021-08-06,"Residential",1920,31.46
"384",2021-08-06,"Water Works",NA,148.22
"385",2021-08-07,"MSI",6960,90.85
"386",2021-08-07,"Residential",1920,32.63
"387",2021-08-07,"Water Works",NA,150.37
"388",2021-08-08,"MSI",6960,89.74
"389",2021-08-08,"Residential",1920,33.22
"390",2021-08-08,"Water Works",NA,152.49
"391",2021-08-09,"MSI",6960,92.64
"392",2021-08-09,"Residential",1920,35.85
"393",2021-08-09,"Water Works",NA,127.43
"394",2021-08-10,"MSI",6960,95.63
"395",2021-08-10,"Residential",1920,35.62
"396",2021-08-10,"Water Works",NA,150.45
"397",2021-08-11,"MSI",6960,91.99
"398",2021-08-11,"Residential",1920,34.92
"399",2021-08-11,"Water Works",NA,127.27
"400",2021-08-12,"MSI",6960,90.9
"401",2021-08-12,"Residential",1920,35.8
"402",2021-08-12,"Water Works",NA,154.13
"403",2021-08-13,"MSI",6960,88.23
"404",2021-08-13,"Residential",1920,35.27
"405",2021-08-13,"Water Works",NA,141.63
"406",2021-08-14,"MSI",6960,86
"407",2021-08-14,"Residential",1920,35.57
"408",2021-08-14,"Water Works",NA,142.33
"409",2021-08-15,"MSI",6713,86.49
"410",2021-08-15,"Residential",1920,37.08
"411",2021-08-15,"Water Works",NA,177.58
"412",2021-08-16,"MSI",6336,80.56
"413",2021-08-16,"Residential",1920,32.67
"414",2021-08-16,"Water Works",NA,153.8
"415",2021-08-17,"MSI",6336,81.53
