latitude,longitude,code,active_energy,active_energy_exp,reactive_energy,kvarh_imp,kvarh_exp,reactive_energy_lead,reactive_energy_lag,apparent_energy,apparent_energy_exp,r_phase_neutral_agv_volts,y_phase_neutral_agv_volts,b_phase_neutral_agv_volts,r_phase_avg_current,y_phase_avg_current,b_phase_avg_current
23.070166,72.673645,aash_1,2184.200030788779,0,0,765.9000085294247,0,0,0,2657.100034832954,0,437313.9003601074,438410.0999755859,435948.9998931885,3728.500012420118,4807.300019361079,3862.600009813905
23.078787,72.673332,aayu_2,0,0,0,0,0,0,0,0,0,48163.39994812012,48340.40013122559,48529.49996948242,0,0,0
23.058346,72.675392,abhi_3,2265.200001120567,307.1000006198883,524.4000019878149,472.500002540648,91.90000003576279,524.4000019878149,0,2329.300000503659,320.8000004291534,213562.3999633789,215470.1001586914,209468.400100708,13510.09998252243,15691.19999913126,13875.89999610186
23.055174,72.680992,adar_4,419.8000055104494,0,0,112.9000011608005,0,0,0,510.6000062376261,0,118921.5000305176,119257.7998809814,118679.2000274658,1278.400000065565,1596.899999499321,1302.699999719858
23.060299,72.674385,adar_4,5168.500012971461,614.2000012397766,1048.80000397563,1156.100007638335,183.8000000715256,1048.80000397563,0,5471.300014302135,641.6000008583069,568893.4002990723,548736.3003387451,536379.4004364014,29446.09996888787,33383.2999984324,28905.19999837875
23.068586,72.653595,aekn_5,208.7000030949712,0,0,96.3000015988946,0,0,0,247.6000035181642,0,0,0,0,0,0,0
34.215691,75.50412,amar_6,2223.700001001358,307.1000006198883,524.4000019878149,471.2000025212765,91.90000003576279,524.4000019878149,0,2287.80000038445,320.8000004291534,189593.8000488281,191477.3001708984,185485.700088501,13454.29998242855,15617.49999901652,13243.20000171661
23.068586,72.653595,ambi_7,339.3000035956502,0,0,135.700001642108,0,0,0,426.1000032350421,0,95836.00012207031,95070.79986572266,95053.00006103516,802.9000026583672,1074.00000641495,938.0000011771917
23.075665,72.662392,ambi_7,23.30000035464764,0,0,36.40000088512897,0,0,0,44.80000050365925,0,0,0,0,0,0,0
23.068586,72.653595,amc _8,61.09999991953373,0,8.100000120699406,3.600000113248825,0,8.100000120699406,0,61.60000003874302,0,21270.80004882813,22275.59992980957,21416.7999420166,690.5000066757202,17.20000025629997,333.2000017166138
23.068586,72.653595,anga_9,4917.900010243058,614.2000012397766,1048.80000397563,1126.300007708371,183.8000000715256,1048.80000397563,0,5133.100010588765,641.6000008583069,474312.8001708984,478477.1003417969,466362.2000427246,27525.39996527135,32084.49999829382,27210.00000376254
12.98022,77.646133,asce_10,17.80000013113022,0,0,.9000000134110451,0,0,0,18.20000017434359,0,24089.60006713867,0,0,300.5000011846423,0,0
23.068586,72.653595,astm_11,1145.000014208257,0,0,367.0000032484531,0,0,0,1343.40001616627,0,1419025.900161743,1369076.899475098,1414630.100219727,3380.900017395616,2839.000008530915,3476.300013206899
23.068586,72.653595,bala_12,97.50000093132257,0,28.10000052303076,4.500000096857548,0,28.10000052303076,0,98.00000090152025,0,48633.40007019043,48104.10003662109,48246.19995117188,511.1000037193298,1226.500003218651,455.7000000476837
23.076185,72.674942,bala_12,3222.200028263032,0,725.0000034049153,987.6000053286552,0,726.3000032380223,0,3617.100015208125,0,281860.3000030518,285788.4002990723,285335.0000915527,13015.39997331798,14287.39998389781,13979.49999282509
23.071575,72.673416,bapa_13,407.000005364418,0,0,135.8000002205372,0,0,0,511.7000069692731,0,95589.90010070801,96227.60015869141,95737.19993591309,749.7999982982874,694.7999993041158,709.3000021725893
23.068586,72.653595,baps_14,0,0,0,0,0,0,0,0,0,47961.49998474121,47591.39999389648,47769.09999084473,0,0,0
23.053457,72.679604,bhak_15,1439.500009045005,365.3999985083938,92.50000091642141,451.9000011533499,31.59999999403954,92.50000091642141,0,1569.80000410229,368.200000166893,1208335.599807739,950156.2005462646,950108.7997436523,14392.7999997586,9579.299961611629,9481.499990105629
23.053665,72.681168,bhak_15,1174.000008888543,137.4000001624227,148.0000014603138,226.500001706183,11.60000020265579,148.0000014603138,0,1219.300009891391,140.0000002980232,595970.6998596191,589871.6997833252,593588.8999938965,6621.500002205372,8233.799982652068,8092.600006908178
23.05414,72.679428,bhak_15,682.8000056669116,114.0000015497208,49.80000077188015,155.1000020876527,8.700000159442425,49.80000077188015,0,755.9000062197447,116.4000016152859,47431.40005493164,47524.49990844727,47723.80010986328,1785.09999795258,2023.299991086125,2123.099997118115
23.068586,72.653595,capi_16,204.2000027447939,0,0,60.30000089854002,0,0,0,218.4000031203032,0,0,0,0,0,0,0
,,cell_17,2223.700001001358,307.1000006198883,524.4000019878149,471.2000025212765,91.90000003576279,524.4000019878149,0,2287.80000038445,320.8000004291534,189593.8000488281,191477.3001708984,185485.700088501,13454.29998242855,15617.49999901652,13243.20000171661
,,chec_18,6671.100003004074,921.3000018596649,1573.200005963445,1413.600007563829,275.7000001072884,1573.200005963445,0,6863.40000115335,962.4000012874603,568781.4001464844,574431.9005126953,556457.1002655029,40362.89994728565,46852.49999704957,39729.60000514984
23.068586,72.653595,crys_19,880.9000021964312,0,187.7000003457069,411.2000004947186,0,187.8000002503395,0,990.8000047653913,0,740408.5993347168,748884.4002685547,742286.9994659424,6407.499996803701,4572.399996250868,4878.599993728101
23.068586,72.653595,deep_20,579.9000081419945,0,0,114.7000013813376,0,0,0,662.5000095441937,0,164637.700012207,166330.9999237061,168345.599899292,311.4000017717481,656.1000011414289,667.1999990046024
